dump mydmp all atom 15000 dump.lammpstrj

#Equilibrate (all WCA)
velocity all create 236.51 1337 #Set the temperature to 236.51 K
fix 1 all nvt temp 236.51 236.51 100 #use a nose-hoover thermostat to keep the temperature at 236.51 K
timestep 0.1
thermo 1000
run 10000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.48
  ghost atom cutoff = 12.48
  binsize = 6.24, bins = 85 85 85
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 5.76 | 5.785 | 7.227 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   236.51        -1.0493044      1.1585817e-21  3382.2044      1.0437645    
      1000   207.57765     -0.86357792     617.91583      3586.4314     -0.027784923  
      2000   223.11423     -0.94466269     715.79741      3906.4811     -2.6566942    
      3000   226.6643      -1.0657281      1008.52        4249.866      -6.3958954    
      4000   204.81193     -1.2704161      1655.5011      4584.0464     -9.5149213    
      5000   217.97898     -1.4749962      1812.7781      4929.4722     -9.9459469    
      6000   223.78626     -1.6537467      1940.6509      5140.2389     -7.8927829    
      7000   235.31882     -1.8238308      1603.7212      4968.1113     -4.7235673    
      8000   221.08794     -2.0249872      1469.7419      4630.3595     -2.5234119    
      9000   200.28103     -2.2612857      1491.3156      4354.056      -1.9219774    
     10000   225.85222     -2.5564042      1131.6722      4359.9108     -2.1596973    
     11000   224.75563     -2.8589184      1231.4279      4443.6774     -2.7613734    
     12000   236.13844     -3.1522846      1159.6999      4534.4862     -3.096743     
     13000   257.76152     -3.3413956      852.32196      4536.2352     -2.8207618    
     14000   246.22709     -3.3045448      892.89388      4411.8451     -1.9207052    
     15000   254.16563     -2.7016579      731.7164       4364.8306     -0.69290247   
     16000   259.48726     -2.1376569      682.98944      4392.7931      0.63198788   
     17000   258.48247     -1.3619822      751.67525      4447.881       1.2803704    
     18000   259.89313      0.64280926     753.5169       4471.9068      0.91143927   
     19000   240.09992      3.1463899      970.90851      4408.662      -0.28833626   
     20000   237.23034      4.2936493      998.54565      4396.3973     -1.3046887    
     21000   228.49235      3.6955276      1175.096       4447.3534     -1.3370773    
     22000   218.13444      2.6141543      1382.5886      4505.5958     -0.65187084   
     23000   223.62887      1.138132       1306.6246      4506.753       0.42652891   
     24000   208.73697      0.00010233808  1430.6638      4416.6269      1.2248041    
     25000   209.1071      -1.553429       1395.5541      4385.2583      1.125715     
     26000   222.85032     -2.4243292      1255.2457      4440.6746      0.6617673    
     27000   227.83768     -2.1878851      1236.6077      4493.6168      0.2892718    
     28000   238.70131     -0.27167625     1087.8897      4502.218       0.23617596   
     29000   245.20728      1.9854601      942.73761      4452.3905      0.56490838   
     30000   246.66371      2.8074134      864.56287      4395.8718      0.91062366   
     31000   259.73387      3.7447798      731.75068      4450.9645      1.2847757    
     32000   260.53891      4.1570961      778.27646      4509.4186      1.5884953    
     33000   263.0869       6.696469       741.38992      4511.5202      1.1459117    
     34000   254.20351      4.9755022      818.83064      4460.1638      0.80504113   
     35000   238.73771      6.539808       995.72127      4417.382       0.69113876   
     36000   235.78342      7.3161935      1080.6333      4460.8095      0.37142226   
     37000   228.80345      7.061239       1247.8476      4527.9211      0.59249647   
     38000   221.72923      7.5709875      1330.9047      4510.2919      0.57840335   
     39000   216.65193      8.516246       1359.9242      4467.6262      0.22532149   
     40000   211.00972      8.1227108      1440.8996      4467.4968     -0.30615856   
     41000   217.00668      9.3956257      1375.5025      4489.1587     -0.38279394   
     42000   219.31781      9.3114221      1336.7893      4483.4217      0.10162407   
     43000   225.05997      6.46786        1244.9613      4470.8911      0.37247881   
     44000   236.47788      4.3234965      1048.4572      4435.5749     -0.11300001   
     45000   241.22787      6.9780419      982.11516      4439.8356     -0.60037812   
     46000   255.17389      6.1924504      863.23525      4519.6665     -0.23231435   
     47000   260.20822      6.5863014      812.73012      4541.5709      0.3430888    
     48000   255.4857       9.3541928      814.32695      4478.3805      0.40025152   
     49000   255.88857      8.86674        758.4383       4427.7674      0.3065644    
     50000   247.30605      6.3352888      899.28637      4443.3119     -0.079999524  
     51000   245.48209      4.7213902      963.69219      4480.0122     -0.12588342   
